File Name,Object Type,Title,Item Sequence,Issue Sequence,Visibility,Parent ARK,Issue ARK,Item ARK,Bucketeer State,IIIF Access URL,IIIF Manifest URL,Range.1
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190201_001.tif,Page,Page 1,1,1,open,ark:/21198/z1201dwh,ark:/21198/z1gx760p,ark:/21198/z1nk68hz,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk68hz,,1919-02-01 (vol. 01 | no. 05)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190201_002.tif,Page,Page 2,2,2,open,ark:/21198/z1201dwh,ark:/21198/z1gx760p,ark:/21198/z1ht5hs7,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht5hs7,,1919-02-01 (vol. 01 | no. 05)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190201_003.tif,Page,Page 3,3,3,open,ark:/21198/z1201dwh,ark:/21198/z1gx760p,ark:/21198/z1d24s3p,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d24s3p,,1919-02-01 (vol. 01 | no. 05)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190201_004.tif,Page,Page 4,4,4,open,ark:/21198/z1201dwh,ark:/21198/z1gx760p,ark:/21198/z18941cb,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18941cb,,1919-02-01 (vol. 01 | no. 05)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190223_001.tif,Page,Page 1,5,1,open,ark:/21198/z1201dwh,ark:/21198/z1c854sx,ark:/21198/z14j38m5,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j38m5,,1919-02-23 (vol. 01 | no. 06)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190223_002.tif,Page,Page 2,6,2,open,ark:/21198/z1201dwh,ark:/21198/z1c854sx,ark:/21198/z10s2hxw,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s2hxw,,1919-02-23 (vol. 01 | no. 06)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190223_003.tif,Page,Page 3,7,3,open,ark:/21198/z1201dwh,ark:/21198/z1c854sx,ark:/21198/z1w40qts,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w40qts,,1919-02-23 (vol. 01 | no. 06)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190223_004.tif,Page,Page 4,8,4,open,ark:/21198/z1201dwh,ark:/21198/z1c854sx,ark:/21198/z1rc002d,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rc002d,,1919-02-23 (vol. 01 | no. 06)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190410_001.tif,Page,Page 1,9,1,open,ark:/21198/z1201dwh,ark:/21198/z17h4d15,ark:/21198/z1mk97ck,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk97ck,,1919-04-10 (vol. 01 | no. 07)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190410_002.tif,Page,Page 2,10,2,open,ark:/21198/z1201dwh,ark:/21198/z17h4d15,ark:/21198/z1gt8gp9,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt8gp9,,1919-04-10 (vol. 01 | no. 07)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190410_003.tif,Page,Page 3,11,3,open,ark:/21198/z1201dwh,ark:/21198/z17h4d15,ark:/21198/z1c27qzw,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c27qzw,,1919-04-10 (vol. 01 | no. 07)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190410_004.tif,Page,Page 4,12,4,open,ark:/21198/z1201dwh,ark:/21198/z17h4d15,ark:/21198/z1797052,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1797052,,1919-04-10 (vol. 01 | no. 07)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190417_001.tif,Page,Page 1,13,1,open,ark:/21198/z1201dwh,ark:/21198/z13r3nbw,ark:/21198/z13j67gs,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j67gs,,1919-04-17 (vol. 01 | no. 08)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190417_002.tif,Page,Page 2,14,2,open,ark:/21198/z1201dwh,ark:/21198/z13r3nbw,ark:/21198/z1zw4fdt,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw4fdt,,1919-04-17 (vol. 01 | no. 08)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190417_003.tif,Page,Page 3,15,3,open,ark:/21198/z1201dwh,ark:/21198/z13r3nbw,ark:/21198/z1v43pnz,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v43pnz,,1919-04-17 (vol. 01 | no. 08)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190417_004.tif,Page,Page 4,16,4,open,ark:/21198/z1201dwh,ark:/21198/z13r3nbw,ark:/21198/z1qc2xzp,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc2xzp,,1919-04-17 (vol. 01 | no. 08)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190516_001.tif,Page,Page 1,17,1,open,ark:/21198/z1201dwh,ark:/21198/z1002wmg,ark:/21198/z1km269n,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km269n,,1919-05-16 (vol. 01 | no. 11)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190516_002.tif,Page,Page 2,18,2,open,ark:/21198/z1201dwh,ark:/21198/z1002wmg,ark:/21198/z1fv1fh1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv1fh1,,1919-05-16 (vol. 01 | no. 11)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190516_003.tif,Page,Page 3,19,3,open,ark:/21198/z1201dwh,ark:/21198/z1002wmg,ark:/21198/z1b30psm,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b30psm,,1919-05-16 (vol. 01 | no. 11)
Masters/othermasters/DEPvialibre/images/ihc_vialibre_19190516_004.tif,Page,Page 4,20,4,open,ark:/21198/z1201dwh,ark:/21198/z1002wmg,ark:/21198/z1699z2r,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1699z2r,,1919-05-16 (vol. 01 | no. 11)
