File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_001.tif,Page,Page 1,1,ark:/21198/z1v7274h,ark:/21198/z1jt2d19,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt2d19
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_002.tif,Page,Page 2,2,ark:/21198/z1v7274h,ark:/21198/z1f21n8f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f21n8f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_003.tif,Page,Page 3,3,ark:/21198/z1v7274h,ark:/21198/z1990wn2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1990wn2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_004.tif,Page,Page 4,4,ark:/21198/z1v7274h,ark:/21198/z15m8v92,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8v92
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_005.tif,Page,Page 5,5,ark:/21198/z1v7274h,ark:/21198/z11v83m5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v83m5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_006.tif,Page,Page 6,6,ark:/21198/z1v7274h,ark:/21198/z1x37m46,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x37m46
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_007.tif,Page,Page 7,7,ark:/21198/z1v7274h,ark:/21198/z1sb6vc1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb6vc1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_008.tif,Page,Page 8,8,ark:/21198/z1v7274h,ark:/21198/z1nk63np,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk63np
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_009.tif,Page,Page 9,9,ark:/21198/z1v7274h,ark:/21198/z1ht5bxz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht5bxz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_010.tif,Page,Page 10,10,ark:/21198/z1v7274h,ark:/21198/z1d24m8v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d24m8v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_011.tif,Page,Page 11,11,ark:/21198/z1v7274h,ark:/21198/z18d2jv3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d2jv3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_012.tif,Page,Page 12,12,ark:/21198/z1v7274h,ark:/21198/z14n1t74,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n1t74
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_013.tif,Page,Page 13,13,ark:/21198/z1v7274h,ark:/21198/z10w12fw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w12fw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_014.tif,Page,Page 14,14,ark:/21198/z1v7274h,ark:/21198/z1w40k0c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w40k0c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_015.tif,Page,Page 15,15,ark:/21198/z1v7274h,ark:/21198/z1rb9t66,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb9t66
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_016.tif,Page,Page 16,16,ark:/21198/z1v7274h,ark:/21198/z1mk92h9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk92h9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_017.tif,Page,Page 17,17,ark:/21198/z1v7274h,ark:/21198/z1gt89vg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt89vg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_018.tif,Page,Page 18,18,ark:/21198/z1v7274h,ark:/21198/z1c568ff,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c568ff
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_019.tif,Page,Page 19,19,ark:/21198/z1v7274h,ark:/21198/z17d5ht2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d5ht2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_020.tif,Page,Page 20,20,ark:/21198/z1v7274h,ark:/21198/z13n4s29,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n4s29
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_021.tif,Page,Page 21,21,ark:/21198/z1v7274h,ark:/21198/z1zw48k0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw48k0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_022.tif,Page,Page 22,22,ark:/21198/z1v7274h,ark:/21198/z1v43hsp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v43hsp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_023.tif,Page,Page 23,23,ark:/21198/z1v7274h,ark:/21198/z1qc2s3t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc2s3t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_024.tif,Page,Page 24,24,ark:/21198/z1v7274h,ark:/21198/z1km21gt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km21gt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_025.tif,Page,Page 25,25,ark:/21198/z1v7274h,ark:/21198/z1fz003x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fz003x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_026.tif,Page,Page 26,26,ark:/21198/z1v7274h,ark:/21198/z1b597dd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b597dd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_027.tif,Page,Page 27,27,ark:/21198/z1v7274h,ark:/21198/z16d8gpp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d8gpp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_028.tif,Page,Page 28,28,ark:/21198/z1v7274h,ark:/21198/z12n7qxh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n7qxh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_029.tif,Page,Page 29,29,ark:/21198/z1v7274h,ark:/21198/z1xw77d5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw77d5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_030.tif,Page,Page 30,30,ark:/21198/z1v7274h,ark:/21198/z1t46gq6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t46gq6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_031.tif,Page,Page 31,31,ark:/21198/z1v7274h,ark:/21198/z1pg4f9v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pg4f9v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_032.tif,Page,Page 32,32,ark:/21198/z1v7274h,ark:/21198/z1jq3pn1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq3pn1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_033.tif,Page,Page 33,33,ark:/21198/z1v7274h,ark:/21198/z1dz2z12,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz2z12
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_034.tif,Page,Page 34,34,ark:/21198/z1v7274h,ark:/21198/z1962674,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1962674
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_035.tif,Page,Page 35,35,ark:/21198/z1v7274h,ark:/21198/z15f1fjv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f1fjv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330506_036.tif,Page,Page 36,36,ark:/21198/z1v7274h,ark:/21198/z11p0pr7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11p0pr7
